Sentences_Chinese,Sentence_Cantonese,label,emo_class
現在好了，我終於如願以償。,而家好了，我終於如願以償。,0,Happy
今天有記者問我李嫣長大了會不會讓她也為基金會工作。,今日有記者問我李嫣大個咗會唔會畀佢都為基金會工作。,4,Neutral
我說我會告訴她這件事情，讓她自已去做選擇。,我說我會告訴她這件事情，讓她自已去做選擇。,4,Neutral
我這一年大半的時間在為基金會忙碌著，以致于友人問我怎麼真是改行做慈善了，我也只能笑笑。,我一年大半嘅球隊喺為基金會忙碌住，以致于友人問我點真系改行做慈善咗，我都只能笑笑。,1,Sad
其實無論從我的財富積累還是從我的人生階段來講，我都還沒到那一步，一切只是因為這個偶然性事件罷了。,其實無論由我嘅財富積累還是由我嘅人生階段來講，我都仲未到一步，一切只系因為呢個偶然性事件之嘛。,1,Sad
在過去的一年裡，嫣然天使基金為四百五十個貧困家庭的孩子實施了手術。,喺舊時嘅一年度，嫣然天使基金為四百五十個貧困家庭嘅仔實施了手術。,4,Neutral
在和這些家庭有限的接觸和交談中。,喺同呢啲家庭有限嘅接觸同交談中。,4,Neutral
前幾天基金會請了美國專家來和我們的醫療隊的醫生作學術交流，在談到兩個技術問題時，我問到：在美國誰是最好的呢？,前幾日基金會請咗美國專家嚟同我哋嘅醫療隊嘅醫師作學術交流，談到兩個技術問題時緊，我問到：喺美國邊個系最好嘅呢？,4,Neutral
美國醫生說：“Ｉｔ’ｓ　ｍｅ．”我接著問：第二個技術誰是最好的呢？,美國醫生說：“It's me.” 我接著問：第二個技術邊個系最好嘅呢？,4,Neutral
這是一個溫馨祥和的歡聚之宴，這將又是一個興奮激動的不眠之夜。,系一個溫馨祥和嘅歡聚之宴，將又系一個興奮激動嘅不眠之亱。,0,Happy
來自海外各團體代表，在歐美同學會，中國留學人員聯誼會的旗幟下，出席第三屆海外留學人員團體負責人代表座談會，相聚北京，交流經驗，互述衷暢，切磋學藝，深化情誼。,來自海外各團體代表，在歐美同學會，中國留學人員聯誼會嘅旗幟的，出席第三屆海外留學人員團體負責人代表座談會，相聚北京，交流經驗，互述衷暢，切磋學藝，深化情誼。,0,Happy
日轉星移，滄海桑田。,日轉星移，滄海桑田。,0,Happy
在此我很自豪地向各位學長彙報，包括留學人員在內的６５萬在日華僑華人，學得很認真，幹得很出色。,在此我好自豪咁向各位學長彙報，包括留學人員在內嘅65萬喺日華僑華人，學得好認真，做得好出色。,0,Happy
我僅以其中的全日本中國人博士協會為例，勾畫其輪廓。,我僅以其中嘅日本中國人博士協會為例曬，勾畫其輪廓。,4,Neutral
其成果包括會員成為了兼職教授，長江學者，百人計畫，亦有創辦高新產業佼佼者。,其成果包括會員成為了兼職教授，長江學者，百人計畫，亦有創辦高新產業佼佼者。,0,Happy
例如，發起並參與“海智計畫”（海外智力為國服務），支援“西部開發”（青海），發起“中部崛起”行動計畫，投入“東北大振興”行列。,例如，發起並參與“海智計畫”（海外智力為國服務），支援“西部開發”（青海），發起“中部崛起”行動計畫，投入“東北大振興”行列。,4,Neutral
２００３年在東京博協與吉林省共同主辦了“ＷＴＯ國際研討會”，２００４年在長春簽訂了科技振興協定並舉行研討會，２００５年博協組團考查、訪問了長春，哈爾濱，瀋陽。,2003年喺東京博協與吉林省共同主辦了“WTO國際研討會”，2004年喺長春簽訂了科技振興協定並舉行研討會，2005年博協組團考查、訪問了長春，哈爾濱，瀋陽。,4,Neutral
博協很自豪地獲得了科技部，教育部“首屆春暉競賽杯”優秀海外協贊單位稱號。,博協好自豪地獲得了科技部，教育部為首屆春暉競賽杯為優秀海外協贊單位稱號。,0,Happy
