Sentences	label
兩個黃坭鳴翠柳一行白鷺上青天呵呵小朱慶居然接過了我的下一句	2
嗱然後向醫師詢問咗應該注意嘅事項認真個樣系我從來冇睇到過嘅或者系我以前冇體會到嘅	0
一直以來唔理我行到邊見到乜嘢嘢我想到嘅都係呢個係我老竇鐘意食嘅嗰個都係我老竇鐘意食嘅而從來就沒有想到過我老母有咩特別鍾意食嘅嘢	1
幫佢畀爸爸發左短信會電話過來父女兩個傾嘅有來有去都算喺聖誕之夜為她製造了另一種快樂	0
對於中國人來說漢唐嘅歷史記憶深刻天下中心天下共主嘅歷史認識被近代史民族悲劇打爛 然而對於呢種世界中心嘅想像和追求頑固開嘅存在我哋潛意識中	1
只要你講得啱我哋就改正	0
任憑相思成災憂傷成河	1
棱角真的越變越少心痛都真係越變越少	1
我經常對著鏡子反覆練習練習偶然相遇之後我要如何呼吸	4
梗係九三學社仲有一個中國特色嘅方式處理呢個問題它們仲提出限制外來嚟粵嘅人員需要收費我好理解它們的想法係為咗當前中國需要嘅內需出一分力	3
怔兮然笑了	0
最近上海市教育委員會設立餘秋雨大師工作室並舉行掛牌儀式餘秋雨有沒有資格稱大師又成為文化圈內一大焦點話題	4
留喺度有原因都冇原因	4
由於導播莫名其妙的導播讓10幾億電視觀眾錯過了精彩之外的精彩留下了莫大的遺憾	3
我哋說以後仲可以相親相愛我哋工作上互相幫助互相鼓勵我知我哋都忘不了對方我知我哋都會做到	0
這天沒有任何功利也不用操心開車也不擔心明天上班是第二天是周日	0
你告別了她的夜晚你整夜徘徊喺虛擬嘅網絡之中尋找你嘅心靈靠岸	1
我講出嚟可能嚇死你謝霆鋒嘅得意之情溢於言表	0
此時我只能見到秋日嘅落葉感覺到秋嘅寒意	1
雖然他告訴我你對我們的感情早有淡也因為我有些事讓你對我失去了愛	1
寫給女兒姍姍	4
想必我的笑聲都撞喺佢通係霜花嘅窗玻璃上埋啦	0
